ancillaryData,bond,currency,disputer,finalFee,id,identifier,proposedPrice,proposer,requester,reward,settlementPrice,settlementRecipient,state,time,decoded_ancillary,is_crypto,network
0x713a207469746c653a2057696c6c20746865207072696365206f6620455448206f6e20556e69737761702062652067726561746572207468616e203530303020555344432061742035706d20455354204175677573742037746820323032353f2c206465736372697074696f6e3a20546869732069732061206d61726b6574206f6e207768657468657220746865207072696365206f6620455448206f6e207468652063616e6f6e6963616c204554482f5553444320556e6973776170205633203562707320706f6f6c203078383865364130633264444432364645456236344630333961326334313239364663423366353634302069732067726561746572207468616e203530303020555344432061742035706d20455354206f6e204175677573742037746820323032352e207265735f646174613a2070313a20302c2070323a20312c2070333a20302e352e20576865726520703120636f72726573706f6e647320746f204e6f2c20703220746f205965732c20703320746f20756e6b6e6f776e2f35302d35302e2055706461746573206d61646520627920746865207175657374696f6e2063726561746f7220766961207468652062756c6c6574696e20626f61726420617420307836353037304245393134373734363044384137416545623934656639326665303536433266324137206173206465736372696265642062792068747470733a2f2f706f6c79676f6e7363616e2e636f6d2f74782f3078613134663031623131356334393133363234666333663530386639363066346465613235323735386537336332386635663037663865313964376263613036362073686f756c6420626520636f6e736964657265642e2c696e697469616c697a65723a36653063383063393065613663313539313733303866383230656163393163653237323462356235,100000000,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,,250000000,YES_OR_NO_QUERY-1754580505-0x713a207469746c653a2057696c6c20746865207072696365206f6620455448206f6e20556e69737761702062652067726561746572207468616e203530303020555344432061742035706d20455354204175677573742037746820323032353f2c206465736372697074696f6e3a20546869732069732061206d61726b6574206f6e207768657468657220746865207072696365206f6620455448206f6e207468652063616e6f6e6963616c204554482f5553444320556e6973776170205633203562707320706f6f6c203078383865364130633264444432364645456236344630333961326334313239364663423366353634302069732067726561746572207468616e203530303020555344432061742035706d20455354206f6e204175677573742037746820323032352e207265735f646174613a2070313a20302c2070323a20312c2070333a20302e352e20576865726520703120636f72726573706f6e647320746f204e6f2c20703220746f205965732c20703320746f20756e6b6e6f776e2f35302d35302e2055706461746573206d61646520627920746865207175657374696f6e2063726561746f7220766961207468652062756c6c6574696e20626f61726420617420307836353037304245393134373734363044384137416545623934656639326665303536433266324137206173206465736372696265642062792068747470733a2f2f706f6c79676f6e7363616e2e636f6d2f74782f3078613134663031623131356334393133363234666333663530386639363066346465613235323735386537336332386635663037663865313964376263613036362073686f756c6420626520636f6e736964657265642e2c696e697469616c697a65723a36653063383063393065613663313539313733303866383230656163393163653237323462356235,YES_OR_NO_QUERY,0.0,0x12f480cfc9514206dd8b86c415b94b71155719b1,0x65070be91477460d8a7aeeb94ef92fe056c2f2a7,2000000,0,0x12f480cfc9514206dd8b86c415b94b71155719b1,Settled,1754580505,"q: title: Will the price of ETH on Uniswap be greater than 5000 USDC at 5pm EST August 7th 2025?, description: This is a market on whether the price of ETH on the canonical ETH/USDC Uniswap V3 5bps pool 0x88e6A0c2dDD26FEEb64F039a2c41296FcB3f5640 is greater than 5000 USDC at 5pm EST on August 7th 2025. res_data: p1: 0, p2: 1, p3: 0.5. Where p1 corresponds to No, p2 to Yes, p3 to unknown/50-50. Updates made by the question creator via the bulletin board at 0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7 as described by https://polygonscan.com/tx/0xa14f01b115c4913624fc3f508f960f4dea252758e73c28f5f07f8e19d7bca066 should be considered.,initializer:6e0c80c90ea6c15917308f820eac91ce2724b5b5",True,Polygon V2 (new)
0x713a207469746c653a2057696c6c20746865207072696365206f6620455448206f6e20556e697377617020726561636820313030303020555344432062792035706d2045535420417567757374203134746820323032353f2c206465736372697074696f6e3a20546869732069732061206d61726b6574206f6e207768657468657220746865207072696365206f6620455448206f6e207468652063616e6f6e6963616c204554482f5553444320556e6973776170205633203562707320706f6f6c203078383865364130633264444432364645456236344630333961326334313239364663423366353634302069732067726561746572207468616e2031303030302055534443206174206f72206265666f72652035706d20455354206f6e20417567757374203134746820323032352e207265735f646174613a2070313a20302c2070323a20312c2070333a20302e352e20576865726520703120636f72726573706f6e647320746f204e6f2c20703220746f205965732c20703320746f20756e6b6e6f776e2f35302d35302e2055706461746573206d61646520627920746865207175657374696f6e2063726561746f7220766961207468652062756c6c6574696e20626f61726420617420307836353037304245393134373734363044384137416545623934656639326665303536433266324137206173206465736372696265642062792068747470733a2f2f706f6c79676f6e7363616e2e636f6d2f74782f3078613134663031623131356334393133363234666333663530386639363066346465613235323735386537336332386635663037663865313964376263613036362073686f756c6420626520636f6e736964657265642e2c696e697469616c697a65723a36653063383063393065613663313539313733303866383230656163393163653237323462356235,100000000,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,,250000000,YES_OR_NO_QUERY-1755192529-0x713a207469746c653a2057696c6c20746865207072696365206f6620455448206f6e20556e697377617020726561636820313030303020555344432062792035706d2045535420417567757374203134746820323032353f2c206465736372697074696f6e3a20546869732069732061206d61726b6574206f6e207768657468657220746865207072696365206f6620455448206f6e207468652063616e6f6e6963616c204554482f5553444320556e6973776170205633203562707320706f6f6c203078383865364130633264444432364645456236344630333961326334313239364663423366353634302069732067726561746572207468616e2031303030302055534443206174206f72206265666f72652035706d20455354206f6e20417567757374203134746820323032352e207265735f646174613a2070313a20302c2070323a20312c2070333a20302e352e20576865726520703120636f72726573706f6e647320746f204e6f2c20703220746f205965732c20703320746f20756e6b6e6f776e2f35302d35302e2055706461746573206d61646520627920746865207175657374696f6e2063726561746f7220766961207468652062756c6c6574696e20626f61726420617420307836353037304245393134373734363044384137416545623934656639326665303536433266324137206173206465736372696265642062792068747470733a2f2f706f6c79676f6e7363616e2e636f6d2f74782f3078613134663031623131356334393133363234666333663530386639363066346465613235323735386537336332386635663037663865313964376263613036362073686f756c6420626520636f6e736964657265642e2c696e697469616c697a65723a36653063383063393065613663313539313733303866383230656163393163653237323462356235,YES_OR_NO_QUERY,0.0,0xf84a9bb19845f4d79a14e1deb475a311b4224ba9,0x65070be91477460d8a7aeeb94ef92fe056c2f2a7,2000000,0,0xf84a9bb19845f4d79a14e1deb475a311b4224ba9,Settled,1755192529,"q: title: Will the price of ETH on Uniswap reach 10000 USDC by 5pm EST August 14th 2025?, description: This is a market on whether the price of ETH on the canonical ETH/USDC Uniswap V3 5bps pool 0x88e6A0c2dDD26FEEb64F039a2c41296FcB3f5640 is greater than 10000 USDC at or before 5pm EST on August 14th 2025. res_data: p1: 0, p2: 1, p3: 0.5. Where p1 corresponds to No, p2 to Yes, p3 to unknown/50-50. Updates made by the question creator via the bulletin board at 0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7 as described by https://polygonscan.com/tx/0xa14f01b115c4913624fc3f508f960f4dea252758e73c28f5f07f8e19d7bca066 should be considered.,initializer:6e0c80c90ea6c15917308f820eac91ce2724b5b5",True,Polygon V2 (new)
0x713a207469746c653a2057696c6c20746865207072696365206f6620455448206f6e20556e697377617020726561636820313030303020555344432062792032706d2045535420417567757374203230746820323032353f2c206465736372697074696f6e3a20546869732069732061206d61726b6574206f6e207768657468657220746865207072696365206f6620455448206f6e207468652063616e6f6e6963616c204554482f5553444320556e6973776170205633203562707320706f6f6c203078383865364130633264444432364645456236344630333961326334313239364663423366353634302069732067726561746572207468616e2031303030302055534443206174206f72206265666f72652032706d20455354206f6e20417567757374203230746820323032352e207265735f646174613a2070313a20302c2070323a20312c2070333a20302e352e20576865726520703120636f72726573706f6e647320746f204e6f2c20703220746f205965732c20703320746f20756e6b6e6f776e2f35302d35302e2055706461746573206d61646520627920746865207175657374696f6e2063726561746f7220766961207468652062756c6c6574696e20626f61726420617420307836353037304245393134373734363044384137416545623934656639326665303536433266324137206173206465736372696265642062792068747470733a2f2f706f6c79676f6e7363616e2e636f6d2f74782f3078613134663031623131356334393133363234666333663530386639363066346465613235323735386537336332386635663037663865313964376263613036362073686f756c6420626520636f6e736964657265642e2c696e697469616c697a65723a36653063383063393065613663313539313733303866383230656163393163653237323462356235,100000000,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,,250000000,YES_OR_NO_QUERY-1755712181-0x713a207469746c653a2057696c6c20746865207072696365206f6620455448206f6e20556e697377617020726561636820313030303020555344432062792032706d2045535420417567757374203230746820323032353f2c206465736372697074696f6e3a20546869732069732061206d61726b6574206f6e207768657468657220746865207072696365206f6620455448206f6e207468652063616e6f6e6963616c204554482f5553444320556e6973776170205633203562707320706f6f6c203078383865364130633264444432364645456236344630333961326334313239364663423366353634302069732067726561746572207468616e2031303030302055534443206174206f72206265666f72652032706d20455354206f6e20417567757374203230746820323032352e207265735f646174613a2070313a20302c2070323a20312c2070333a20302e352e20576865726520703120636f72726573706f6e647320746f204e6f2c20703220746f205965732c20703320746f20756e6b6e6f776e2f35302d35302e2055706461746573206d61646520627920746865207175657374696f6e2063726561746f7220766961207468652062756c6c6574696e20626f61726420617420307836353037304245393134373734363044384137416545623934656639326665303536433266324137206173206465736372696265642062792068747470733a2f2f706f6c79676f6e7363616e2e636f6d2f74782f3078613134663031623131356334393133363234666333663530386639363066346465613235323735386537336332386635663037663865313964376263613036362073686f756c6420626520636f6e736964657265642e2c696e697469616c697a65723a36653063383063393065613663313539313733303866383230656163393163653237323462356235,YES_OR_NO_QUERY,0.0,0xc816f934fab8179997a05e4b71f405b9e2f69eb8,0x65070be91477460d8a7aeeb94ef92fe056c2f2a7,2000000,0,0xc816f934fab8179997a05e4b71f405b9e2f69eb8,Settled,1755712181,"q: title: Will the price of ETH on Uniswap reach 10000 USDC by 2pm EST August 20th 2025?, description: This is a market on whether the price of ETH on the canonical ETH/USDC Uniswap V3 5bps pool 0x88e6A0c2dDD26FEEb64F039a2c41296FcB3f5640 is greater than 10000 USDC at or before 2pm EST on August 20th 2025. res_data: p1: 0, p2: 1, p3: 0.5. Where p1 corresponds to No, p2 to Yes, p3 to unknown/50-50. Updates made by the question creator via the bulletin board at 0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7 as described by https://polygonscan.com/tx/0xa14f01b115c4913624fc3f508f960f4dea252758e73c28f5f07f8e19d7bca066 should be considered.,initializer:6e0c80c90ea6c15917308f820eac91ce2724b5b5",True,Polygon V2 (new)
0x713a207469746c653a2057696c6c20746865207072696365206f6620455448206f6e20556e69737761702072656163682031303030302055534443206265666f726520417567757374203231737420323032353f2c206465736372697074696f6e3a20546869732069732061206d61726b6574206f6e207768657468657220746865207072696365206f6620455448206f6e207468652063616e6f6e6963616c204554482f5553444320556e6973776170205633203562707320706f6f6c203078383865364130633264444432364645456236344630333961326334313239364663423366353634302069732067726561746572207468616e2031303030302055534443206174206f72206265666f72652031313a3539504d20455354206f6e20417567757374203230746820323032352e207265735f646174613a2070313a20302c2070323a20312c2070333a20302e352e20576865726520703120636f72726573706f6e647320746f204e6f2c20703220746f205965732c20703320746f20756e6b6e6f776e2f35302d35302e2055706461746573206d61646520627920746865207175657374696f6e2063726561746f7220766961207468652062756c6c6574696e20626f61726420617420307836353037304245393134373734363044384137416545623934656639326665303536433266324137206173206465736372696265642062792068747470733a2f2f706f6c79676f6e7363616e2e636f6d2f74782f3078613134663031623131356334393133363234666333663530386639363066346465613235323735386537336332386635663037663865313964376263613036362073686f756c6420626520636f6e736964657265642e2c696e697469616c697a65723a36653063383063393065613663313539313733303866383230656163393163653237323462356235,100000000,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,,250000000,YES_OR_NO_QUERY-1755716701-0x713a207469746c653a2057696c6c20746865207072696365206f6620455448206f6e20556e69737761702072656163682031303030302055534443206265666f726520417567757374203231737420323032353f2c206465736372697074696f6e3a20546869732069732061206d61726b6574206f6e207768657468657220746865207072696365206f6620455448206f6e207468652063616e6f6e6963616c204554482f5553444320556e6973776170205633203562707320706f6f6c203078383865364130633264444432364645456236344630333961326334313239364663423366353634302069732067726561746572207468616e2031303030302055534443206174206f72206265666f72652031313a3539504d20455354206f6e20417567757374203230746820323032352e207265735f646174613a2070313a20302c2070323a20312c2070333a20302e352e20576865726520703120636f72726573706f6e647320746f204e6f2c20703220746f205965732c20703320746f20756e6b6e6f776e2f35302d35302e2055706461746573206d61646520627920746865207175657374696f6e2063726561746f7220766961207468652062756c6c6574696e20626f61726420617420307836353037304245393134373734363044384137416545623934656639326665303536433266324137206173206465736372696265642062792068747470733a2f2f706f6c79676f6e7363616e2e636f6d2f74782f3078613134663031623131356334393133363234666333663530386639363066346465613235323735386537336332386635663037663865313964376263613036362073686f756c6420626520636f6e736964657265642e2c696e697469616c697a65723a36653063383063393065613663313539313733303866383230656163393163653237323462356235,YES_OR_NO_QUERY,0.0,0xb7ad15ad3457d8b4a3f9c5007bbf27c1f80092bd,0x65070be91477460d8a7aeeb94ef92fe056c2f2a7,2000000,0,0xb7ad15ad3457d8b4a3f9c5007bbf27c1f80092bd,Settled,1755716701,"q: title: Will the price of ETH on Uniswap reach 10000 USDC before August 21st 2025?, description: This is a market on whether the price of ETH on the canonical ETH/USDC Uniswap V3 5bps pool 0x88e6A0c2dDD26FEEb64F039a2c41296FcB3f5640 is greater than 10000 USDC at or before 11:59PM EST on August 20th 2025. res_data: p1: 0, p2: 1, p3: 0.5. Where p1 corresponds to No, p2 to Yes, p3 to unknown/50-50. Updates made by the question creator via the bulletin board at 0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7 as described by https://polygonscan.com/tx/0xa14f01b115c4913624fc3f508f960f4dea252758e73c28f5f07f8e19d7bca066 should be considered.,initializer:6e0c80c90ea6c15917308f820eac91ce2724b5b5",True,Polygon V2 (new)
0x713a207469746c653a2057696c6c20746865207072696365206f6620455448206f6e20556e69737761702072656163682031303030302055534443206265666f726520417567757374203235746820323032353f2c206465736372697074696f6e3a20546869732069732061206d61726b6574206f6e207768657468657220746865207072696365206f6620455448206f6e207468652063616e6f6e6963616c204554482f5553444320556e6973776170205633203562707320706f6f6c203078383865364130633264444432364645456236344630333961326334313239364663423366353634302069732067726561746572207468616e2031303030302055534443206174206f72206265666f72652031313a3539504d20455354206f6e20417567757374203235746820323032352e207265735f646174613a2070313a20302c2070323a20312c2070333a20302e352e20576865726520703120636f72726573706f6e647320746f204e6f2c20703220746f205965732c20703320746f20756e6b6e6f776e2f35302d35302e2055706461746573206d61646520627920746865207175657374696f6e2063726561746f7220766961207468652062756c6c6574696e20626f61726420617420307836353037304245393134373734363044384137416545623934656639326665303536433266324137206173206465736372696265642062792068747470733a2f2f706f6c79676f6e7363616e2e636f6d2f74782f3078613134663031623131356334393133363234666333663530386639363066346465613235323735386537336332386635663037663865313964376263613036362073686f756c6420626520636f6e736964657265642e2c696e697469616c697a65723a36653063383063393065613663313539313733303866383230656163393163653237323462356235,100000000,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x97091ffa2c90183ae3c19e2a01ebf20883b5fb97,250000000,YES_OR_NO_QUERY-1756146471-0x713a207469746c653a2057696c6c20746865207072696365206f6620455448206f6e20556e69737761702072656163682031303030302055534443206265666f726520417567757374203235746820323032353f2c206465736372697074696f6e3a20546869732069732061206d61726b6574206f6e207768657468657220746865207072696365206f6620455448206f6e207468652063616e6f6e6963616c204554482f5553444320556e6973776170205633203562707320706f6f6c203078383865364130633264444432364645456236344630333961326334313239364663423366353634302069732067726561746572207468616e2031303030302055534443206174206f72206265666f72652031313a3539504d20455354206f6e20417567757374203235746820323032352e207265735f646174613a2070313a20302c2070323a20312c2070333a20302e352e20576865726520703120636f72726573706f6e647320746f204e6f2c20703220746f205965732c20703320746f20756e6b6e6f776e2f35302d35302e2055706461746573206d61646520627920746865207175657374696f6e2063726561746f7220766961207468652062756c6c6574696e20626f61726420617420307836353037304245393134373734363044384137416545623934656639326665303536433266324137206173206465736372696265642062792068747470733a2f2f706f6c79676f6e7363616e2e636f6d2f74782f3078613134663031623131356334393133363234666333663530386639363066346465613235323735386537336332386635663037663865313964376263613036362073686f756c6420626520636f6e736964657265642e2c696e697469616c697a65723a36653063383063393065613663313539313733303866383230656163393163653237323462356235,YES_OR_NO_QUERY,0.0,0x97091ffa2c90183ae3c19e2a01ebf20883b5fb97,0x65070be91477460d8a7aeeb94ef92fe056c2f2a7,5000000,-57896044618658097711785492504343953926634992332820282019728792003956564819968,0x97091ffa2c90183ae3c19e2a01ebf20883b5fb97,Settled,1756146471,"q: title: Will the price of ETH on Uniswap reach 10000 USDC before August 25th 2025?, description: This is a market on whether the price of ETH on the canonical ETH/USDC Uniswap V3 5bps pool 0x88e6A0c2dDD26FEEb64F039a2c41296FcB3f5640 is greater than 10000 USDC at or before 11:59PM EST on August 25th 2025. res_data: p1: 0, p2: 1, p3: 0.5. Where p1 corresponds to No, p2 to Yes, p3 to unknown/50-50. Updates made by the question creator via the bulletin board at 0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7 as described by https://polygonscan.com/tx/0xa14f01b115c4913624fc3f508f960f4dea252758e73c28f5f07f8e19d7bca066 should be considered.,initializer:6e0c80c90ea6c15917308f820eac91ce2724b5b5",True,Polygon V2 (new)
0x713a207469746c653a2057696c6c20746865207072696365206f6620455448206f6e20556e69737761702072656163682031303030302055534443206265666f726520417567757374203235746820323032353f2c206465736372697074696f6e3a20546869732069732061206d61726b6574206f6e207768657468657220746865207072696365206f6620455448206f6e207468652063616e6f6e6963616c204554482f5553444320556e6973776170205633203562707320706f6f6c203078383865364130633264444432364645456236344630333961326334313239364663423366353634302069732067726561746572207468616e2031303030302055534443206174206f72206265666f72652031313a3539504d20455354206f6e20417567757374203235746820323032352e207265735f646174613a2070313a20302c2070323a20312c2070333a20302e352e20576865726520703120636f72726573706f6e647320746f204e6f2c20703220746f205965732c20703320746f20756e6b6e6f776e2f35302d35302e2055706461746573206d61646520627920746865207175657374696f6e2063726561746f7220766961207468652062756c6c6574696e20626f61726420617420307836353037304245393134373734363044384137416545623934656639326665303536433266324137206173206465736372696265642062792068747470733a2f2f706f6c79676f6e7363616e2e636f6d2f74782f3078613134663031623131356334393133363234666333663530386639363066346465613235323735386537336332386635663037663865313964376263613036362073686f756c6420626520636f6e736964657265642e2c696e697469616c697a65723a36653063383063393065613663313539313733303866383230656163393163653237323462356235,100000000,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,,250000000,YES_OR_NO_QUERY-1756147567-0x713a207469746c653a2057696c6c20746865207072696365206f6620455448206f6e20556e69737761702072656163682031303030302055534443206265666f726520417567757374203235746820323032353f2c206465736372697074696f6e3a20546869732069732061206d61726b6574206f6e207768657468657220746865207072696365206f6620455448206f6e207468652063616e6f6e6963616c204554482f5553444320556e6973776170205633203562707320706f6f6c203078383865364130633264444432364645456236344630333961326334313239364663423366353634302069732067726561746572207468616e2031303030302055534443206174206f72206265666f72652031313a3539504d20455354206f6e20417567757374203235746820323032352e207265735f646174613a2070313a20302c2070323a20312c2070333a20302e352e20576865726520703120636f72726573706f6e647320746f204e6f2c20703220746f205965732c20703320746f20756e6b6e6f776e2f35302d35302e2055706461746573206d61646520627920746865207175657374696f6e2063726561746f7220766961207468652062756c6c6574696e20626f61726420617420307836353037304245393134373734363044384137416545623934656639326665303536433266324137206173206465736372696265642062792068747470733a2f2f706f6c79676f6e7363616e2e636f6d2f74782f3078613134663031623131356334393133363234666333663530386639363066346465613235323735386537336332386635663037663865313964376263613036362073686f756c6420626520636f6e736964657265642e2c696e697469616c697a65723a36653063383063393065613663313539313733303866383230656163393163653237323462356235,YES_OR_NO_QUERY,0.0,0xc816f934fab8179997a05e4b71f405b9e2f69eb8,0x65070be91477460d8a7aeeb94ef92fe056c2f2a7,5000000,0,0xc816f934fab8179997a05e4b71f405b9e2f69eb8,Settled,1756147567,"q: title: Will the price of ETH on Uniswap reach 10000 USDC before August 25th 2025?, description: This is a market on whether the price of ETH on the canonical ETH/USDC Uniswap V3 5bps pool 0x88e6A0c2dDD26FEEb64F039a2c41296FcB3f5640 is greater than 10000 USDC at or before 11:59PM EST on August 25th 2025. res_data: p1: 0, p2: 1, p3: 0.5. Where p1 corresponds to No, p2 to Yes, p3 to unknown/50-50. Updates made by the question creator via the bulletin board at 0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7 as described by https://polygonscan.com/tx/0xa14f01b115c4913624fc3f508f960f4dea252758e73c28f5f07f8e19d7bca066 should be considered.,initializer:6e0c80c90ea6c15917308f820eac91ce2724b5b5",True,Polygon V2 (new)
